t,phase,q1,q2,q3,q4,q5,tip_x,tip_y,tip_z,error,depth
9.9,insertion,0.608861,0.015,-0.310855,0.349066,0.015759,0.552168,0.015,0.13338,0.094052,-0.01338
9.95,insertion,0.608861,0.015,-0.310855,0.349066,0.016009,0.552083,0.015,0.133145,0.093802,-0.013145
10.0,insertion,0.608861,0.015,-0.310855,0.349066,0.016259,0.551997,0.015,0.13291,0.093552,-0.01291
10.05,insertion,0.608861,0.015,-0.310855,0.349066,0.01651,0.551912,0.015,0.132675,0.093302,-0.012675
10.1,insertion,0.608861,0.015,-0.310855,0.349066,0.01676,0.551826,0.015,0.13244,0.093052,-0.01244
10.15,insertion,0.608861,0.015,-0.310855,0.349066,0.01701,0.551741,0.015,0.132204,0.092801,-0.012204
10.2,insertion,0.608861,0.015,-0.310855,0.349066,0.01726,0.551655,0.015,0.131969,0.092551,-0.011969
10.25,insertion,0.608861,0.015,-0.310855,0.349066,0.01751,0.55157,0.015,0.131734,0.092301,-0.011734
10.3,insertion,0.608861,0.015,-0.310855,0.349066,0.01776,0.551484,0.015,0.131499,0.092051,-0.011499
10.35,insertion,0.608861,0.015,-0.310855,0.349066,0.01801,0.551398,0.015,0.131264,0.091801,-0.011264
10.4,insertion,0.608861,0.015,-0.310855,0.349066,0.018261,0.551313,0.015,0.131029,0.091551,-0.011029
10.45,insertion,0.608861,0.015,-0.310855,0.349066,0.018511,0.551227,0.015,0.130794,0.091301,-0.010794
10.5,insertion,0.608861,0.015,-0.310855,0.349066,0.018761,0.551142,0.015,0.130559,0.09105,-0.010559
10.55,insertion,0.608861,0.015,-0.310855,0.349066,0.019011,0.551056,0.015,0.130324,0.0908,-0.010324
10.6,insertion,0.608861,0.015,-0.310855,0.349066,0.019261,0.550971,0.015,0.130089,0.09055,-0.010089
10.65,insertion,0.608861,0.015,-0.310855,0.349066,0.019511,0.550885,0.015,0.129854,0.0903,-0.009854
10.7,insertion,0.608861,0.015,-0.310855,0.349066,0.019761,0.5508,0.015,0.129619,0.09005,-0.009619
10.75,insertion,0.608861,0.015,-0.310855,0.349066,0.020012,0.550714,0.015,0.129384,0.0898,-0.009384
10.8,insertion,0.608861,0.015,-0.310855,0.349066,0.020262,0.550628,0.015,0.129149,0.089549,-0.009149
10.85,insertion,0.608861,0.015,-0.310855,0.349066,0.020512,0.550543,0.015,0.128914,0.089299,-0.008914
10.9,insertion,0.608861,0.015,-0.310855,0.349066,0.020762,0.550457,0.015,0.128679,0.089049,-0.008679
10.95,insertion,0.608861,0.015,-0.310855,0.349066,0.021012,0.550372,0.015,0.128444,0.088799,-0.008444
11.0,insertion,0.608861,0.015,-0.310855,0.349066,0.021262,0.550286,0.015,0.128208,0.088549,-0.008208
11.05,insertion,0.608861,0.015,-0.310855,0.349066,0.021512,0.550201,0.015,0.127973,0.088299,-0.007973
11.1,insertion,0.608861,0.015,-0.310855,0.349066,0.021763,0.550115,0.015,0.127738,0.088049,-0.007738
11.15,insertion,0.608861,0.015,-0.310855,0.349066,0.022013,0.55003,0.015,0.127503,0.087798,-0.007503
11.2,insertion,0.608861,0.015,-0.310855,0.349066,0.022263,0.549944,0.015,0.127268,0.087548,-0.007268
11.25,insertion,0.608861,0.015,-0.310855,0.349066,0.022513,0.549858,0.015,0.127033,0.087298,-0.007033
11.3,insertion,0.608861,0.015,-0.310855,0.349066,0.022763,0.549773,0.015,0.126798,0.087048,-0.006798
